"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"4021","28","Male",6,5,"non-US","deadLock",NA,NA,-18,104,21,181,"S4_5",0.2
"4022","35","Female",7,5,"US","deadLock",NA,0.21212121,-100,85,36,193,"S4_1",0
"4023","26","Male",8,5,"non-US","deadLock",NA,NA,125,122,125,141,"S4_5",0.35
"4024","27","Female",1,5,"US","otherTeam",0,0.83333333,23,101,101,155,"S4_1",0.4
"4025","28","Male",5,5,"US","deadLock",0.137614679,0.34939759,-10,125,50,140,"S4_2",0
"4026","31","Male",9,4,"US","ownTeam",NA,NA,-100,125,94,137,"S4_1",0.2
"4027","40","Female",1,6,"US","ownTeam",1,1,-11,37,50,148,"S4_1",0
"4028","54","Male",2,5,"non-US","deadLock",NA,NA,46,78,125,158,"S4_5",0
"4029","69","Male",5,3,"US","deadLock",0.687898089,1,-5,54,33,199,"S4_2",0.2
"4030","32","Female",5,5,"US","ownTeam",NA,NA,60,84,60,130,"S4_4",0.2
"4031","28","Male",3,5,"non-US","deadLock",1,1,124,123,113,164,"S4_1",0.4
"4032","22","Male",1,5,"non-US","deadLock",NA,NA,125,121,125,187,"S4_3",0.05
"4033","27","Female",7,5,"US","deadLock",NA,NA,5,52,42,141,"S4_5",0
"4034","65","Male",5,4,"US","otherTeam",0,0.15662651,-19,24,0,214,"S4_4",0
"4035","38","Female",2,3,"US","deadLock",NA,NA,-50,125,-50,124,"S4_5",0
"4036","25","Male",1,5,"non-US","otherTeam",0.076433121,1,103,125,108,137,"S4_1",0.15
"4037","29","Male",7,4,"US","deadLock",NA,1,125,125,56,164,"S4_1",0.05
"4038","24","Male",3,5,"US","deadLock",1,1,125,125,125,142,"S4_2",0.05
"4039","34","Male",2,6,"non-US","ownTeam",0,0.28,44,59,60,148,"S4_1",0
"4040","32","Female",6,5,"US","ownTeam",0.363636364,0.55263158,42,95,106,122,"S4_1",0.4
"4041","44","Female",6,4,"US","deadLock",NA,1,-1,118,124,150,"S4_1",0
"4042","27","Male",5,4,"non-US","deadLock",0.583333333,0.48192771,48,72,59,205,"S4_4",0.05
"4043","23","Male",3,5,"non-US","otherTeam",0.03030303,0.140625,115,112,123,209,"S4_1",0.1
"4044","28","Female",4,6,"US","deadLock",1,1,1,24,80,139,"S4_4",0
"4045","45","Female",4,4,"US","deadLock",0.8,1,-24,3,-16,144,"S4_1",0
"4046","33","Female",3,3,"US","deadLock",0,NA,65,119,53,198,"S4_2",0
"4047","29","Male",9,5,"US","ownTeam",NA,0.92307692,7,125,125,218,"S4_2",0
"4048","33","Male",2,4,"US","deadLock",NA,NA,-1,-50,123,126,"S4_2",0
"4049","24","Female",6,4,"US","deadLock",NA,NA,-14,29,17,146,"S4_4",0.1
"4050","32","Male",2,5,"non-US","deadLock",0.76433121,0.6746988,125,124,121,160,"S4_4",0.4
"4051","26","Male",4,5,"non-US","deadLock",1,1,125,46,85,183,"S4_2",0.1
"4052","24","Male",5,4,"US","deadLock",NA,NA,23,125,66,186,"S4_5",0
"4053","61","Male",9,5,"US","deadLock",NA,NA,44,90,106,216,"S4_3",0
"4054","28","Female",5,4,"US","deadLock",NA,1,32,62,79,126,"S4_2",0
"4055","33","Female",6,4,"US","deadLock",NA,NA,-50,125,1,184,"S4_2",0.2
"4056","29","Female",4,5,"US","deadLock",NA,NA,17,125,75,166,"S4_2",0
"4057","51","Female",2,4,"US","deadLock",NA,NA,34,71,89,191,"S4_5",0.2
"4058","36","Female",6,5,"US","deadLock",0.169811321,0,17,115,24,129,"S4_1",0.2
"4059","28","Female",6,6,"US","deadLock",0,NA,73,53,78,141,"S4_5",0
"4060","21","Male",8,2,"US","ownTeam",NA,NA,-18,108,61,176,"S4_5",0
"4061","25","Male",4,5,"non-US","deadLock",NA,NA,-50,-50,-50,194,"S4_5",0.4
"4062","28","Male",8,5,"US","ownTeam",NA,NA,3,51,11,121,"S4_4",0
"4063","34","Female",9,4,"US","otherTeam",1,0.25,-100,61,38,169,"S4_1",0.2
"4064","50","Female",10,6,"US","deadLock",0.878980892,0.68571429,-50,-50,-50,182,"S4_4",0
"4065","23","Female",8,5,"US","deadLock",NA,1,33,125,125,160,"S4_4",0
"4066","48","Female",7,5,"US","otherTeam",0,0,-100,32,7,175,"S4_2",0
"4067","32","Male",3,2,"US","deadLock",0,0.06024096,-2,36,28,208,"S4_2",0
"4068","58","Female",3,5,"US","deadLock",NA,NA,1,3,123,133,"S4_5",0
"4069","39","Male",6,4,"US","otherTeam",1,0.97916667,-100,125,46,137,"S4_1",0.2
"4070","32","Female",3,6,"non-US","ownTeam",0,1,91,77,68,175,"S4_2",0.4
"4071","39","Female",1,4,"US","deadLock",NA,NA,12,119,54,189,"S4_2",0.2
"4072","42","Male",8,5,"US","deadLock",NA,NA,4,49,28,133,"S4_5",0
"4073","22","Male",4,5,"US","deadLock",1,1,-100,125,25,193,"S4_1",0
"4074","36","Female",5,2,"US","deadLock",NA,NA,125,125,125,146,"S4_4",0
"4075","42","Male",3,3,"US","deadLock",NA,NA,16,80,91,152,"S4_4",0.2
"4076","39","Male",4,5,"US","otherTeam",1,0,-50,76,125,209,"S4_1",0.2
